ECG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_HTI,HRV_HF,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_DFA_alpha1_ExpRange,HRV_DFA_alpha1_ExpMean,HRV_DFA_alpha1_DimRange,HRV_DFA_alpha1_DimMean,HRV_ApEn,HRV_SampEn,gender,age,target_emotion,valence,arousal,dominance,stress_bin,participant
81.30583223,188.9365672,10.88119459,6.522357312,6.534573028,0.057591787,0.034521413,188,10.3782,0.055203191,15,3.354717572,0.074328772,0.627252816,-2.599257821,4.6206409,14.70517626,0.314219237,213.4626458,3.182504303,3.036291987,187.1974857,0.51119403,0.483613466,0.684093319,49.7897675,49.78490348,49.79493436,49.80167584,0.53197355,0.46802645,3.37014833,3.161081214,0.518971023,0.481028977,10.59236049,10.19790926,0.520135624,0.479864376,7.859926294,7.549555518,1.355095498,11.4879791,6.702006261,5.008290482,0.789733126,1.031287797,1.316413657,male,22,calmness,4,3,2,0,1
77.94596875,197.0650888,14.63590333,7.742199174,7.765329927,0.074269387,0.039287523,194,11.8608,0.061138144,19.5,3.48787234,0.032554172,0.739746727,-3.424861509,5.490917449,19.9679591,0.274985306,344.453455,3.636635335,3.244091875,290.4635731,0.431952663,0.419845292,0.565151515,50.1227209,50.11692478,50.12783346,45.3740045,0.473074998,0.526925002,3.776662884,3.985860239,0.500286919,0.499713081,14.12352888,14.11538159,0.498372206,0.501627794,10.33772931,10.37139976,1.343575096,1.105242826,1.532787056,1.554136354,0.368535847,0.792006059,1.442378786,male,22,surprise,3,3,1,5,1
74.42772171,206.4390244,12.1635883,7.592550864,7.607723767,0.058920974,0.036778661,207,11.8608,0.057298551,15.5,4.227253401,0.084467971,0.567568014,-2.477038009,5.379473065,16.13821114,0.333337543,272.7386066,2.999962175,3.142713494,193.6560409,0.524390244,0.518883249,0.737839367,51.87705548,52.05772712,51.71536717,40.04314721,0.441315022,0.558684978,3.575112576,4.022710972,0.598700393,0.401299607,12.48315331,10.21423907,0.582947435,0.417052565,9.18219809,7.763513663,1.297821651,0.90795634,1.630514806,1.306711572,0.599070161,0.948409201,1.365782407,male,22,fear,4,3,2,4,1
72.12417573,213.0021834,13.04857037,6.660392823,6.674942298,0.061260266,0.031269131,215.5,8.1543,0.037847164,11,2.531082071,0.020128186,0.354060108,-3.983860599,4.719896963,17.85109866,0.264403079,264.6967126,3.782170493,3.129712439,270.0629357,0.585152838,0.573230975,0.781707317,50.3954423,50.40934942,50.38120549,50.46728972,0.523649474,0.476350526,3.415549635,3.257628382,0.492328747,0.507671253,12.52467008,12.7185203,0.494380865,0.505619135,9.179755203,9.283676924,1.412203219,28.54575482,15.26007968,11.78539801,1.145878706,0.863835764,1.069704468,male,22,happiness,5,4,4,1,1
81.97679941,187.3854749,14.92606414,6.255291819,6.26093214,0.079654328,0.033381946,187,14.826,0.079283422,20.5,4.862217306,0.003372196,0.372277851,-5.692197576,4.427147573,20.63352267,0.214560915,286.9775088,4.660681095,3.164816751,384.6650701,0.501862197,0.464595242,0.662606838,49.4514425,49.47264538,49.43140227,50.96726066,0.512726324,0.487273676,3.170026739,3.090392134,0.476092024,0.523907976,14.23609962,14.93367741,0.477704389,0.522295611,10.31308965,10.78352548,1.264646506,19.56642333,10.47305206,7.677403754,1.470796421,1.137445356,1.268463614,male,22,anger,1,2,4,3,1
78.05129613,196.7234043,12.76413114,6.495126759,6.510829958,0.064883644,0.03301654,194,10.3782,0.053495876,15,2.892307692,0.044799162,0.620579891,-3.105565863,4.603852014,17.29672591,0.266168912,250.1700162,3.757055169,3.105202665,259.9389408,0.481382979,0.454845291,0.653846154,48.48088771,48.29370689,48.65048308,48.10098606,0.423869978,0.576130022,2.998163913,3.495381814,0.469103297,0.530896703,11.8465475,12.60271994,0.46611195,0.53388805,8.640909316,9.247873627,1.45689054,21.38942159,11.84225169,9.100759896,0.894940765,0.895893516,1.320918198,male,22,sadness,1,2,3,2,1
73.83047581,208.1982759,12.24698605,12.52903825,12.58284852,0.058823667,0.060178396,207.5,9.6369,0.04645177,12.125,3.463458111,0.031908979,0.85842387,-3.44593399,8.897417517,14.70071288,0.602921334,412.6825338,1.711592687,3.312019929,100.2599488,0.668103448,0.67527314,0.916893116,48.84533123,48.71531664,48.97315177,49.25788497,0.542281971,0.457718029,6.594461286,5.964490894,0.575725937,0.424274063,11.14227504,9.576155323,0.571791355,0.428208645,9.205466277,7.984541286,0.600839667,34.98054964,17.35151107,13.33729671,1.380269559,0.64323747,0.955773002,male,22,calmness,4,2,3,0,1
76.50347257,200.8098291,11.46625857,7.749250989,7.757465219,0.057100086,0.038589998,201,13.3434,0.066385075,17,4.216216216,0.033170014,0.431893759,-3.406109004,5.485356261,15.26571986,0.359329833,263.0685376,2.783038168,3.127038981,169.9425643,0.556623932,0.537060151,0.764316625,50.32894754,50.33772002,50.3198868,46.63645063,0.475438908,0.524561092,3.782320136,3.972809144,0.525509055,0.474490945,11.0663138,10.5155627,0.519785433,0.480214567,8.269523245,7.948599119,1.120332451,20.31402807,10.72086403,8.3985344,0.85865326,1.205043004,1.397640559,male,22,happiness,4,3,2,1,1
71.19137473,215.7711443,8.521127641,7.552645179,7.571224023,0.039491507,0.035003036,216,7.413,0.034319444,9,2.324398396,0.089487519,0.699239893,-2.499153432,5.353663849,10.80099585,0.495602826,181.6869939,2.020145761,2.965917564,87.26758646,0.684079602,0.666710735,0.894308943,49.20261535,49.19746515,49.2085488,49.86338798,0.558297509,0.441702491,4.001711981,3.556319446,0.564603796,0.435396204,8.113260403,7.120896228,0.563118645,0.436881355,6.396935894,5.629882838,0.882469676,1.339072845,0.951778706,1.534456883,0.339560767,0.860237851,1.397598369,male,22,anger,3,1,2,3,1
73.91600835,207.8359788,8.069968402,7.229830687,7.239355904,0.038828544,0.034786233,209,5.9304,0.02837512,7,2.223529412,0.04000062,0.47028238,-3.22156126,5.118997651,10.19874559,0.501949743,164.006083,1.99709775,2.921343496,81.47570651,0.652116402,0.630939305,0.858522474,50.40052711,50.40424119,50.39681228,49.5491266,0.5198751,0.4801249,3.690679209,3.547330446,0.510394846,0.489605154,7.285815995,7.135684227,0.512457257,0.487542743,5.776756324,5.635480623,0.973175096,22.70213903,11.83001155,9.416583091,0.808840443,1.053301916,1.346666278,male,22,fear,2,5,5,4,1
